,CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants,r_inhibition_at_50_uM,f_inhibition_at_50_uM,r_active,f_active
432,LON-WEI-adc59df6-7,128.67970000000003,10,5,1,88.60000000000002,195.400481373722,4.098900000000003,-6.5,7.655949191325015,-89.1383,7.495463836219332,14.6089723614061,30.89273,0,0
433,LON-WEI-adc59df6-8,124.81870000000006,6,3,1,62.3,185.11958289064208,5.088300000000005,-6.9,7.3468121563714055,-88.0253,7.3129209774669794,18.563245965745896,17.809070000000002,0,0
434,LON-WEI-adc59df6-10,125.81170000000004,9,4,1,62.3,183.5186398407433,4.508700000000005,-6.2,7.235257947052947,-80.7596,7.387824526029523,100.0,75.64303000000001,1,1
435,LON-WEI-adc59df6-14,115.58470000000004,6,3,1,62.3,172.38969866184883,4.308100000000003,-6.7,7.296907558219558,-81.0176,7.066439149239645,51.9434354019522,11.98804,1,0
436,LON-WEI-adc59df6-16,129.5697,6,3,1,62.3,193.52333308117846,5.725620000000006,-7.2,7.355531427045176,-77.4071,7.089891140942393,1.370825841,13.863864999999999,0,0
437,LON-WEI-adc59df6-17,121.19470000000004,8,4,1,62.3,177.1536977263467,4.118600000000003,-6.1,7.2238349368964325,-83.0442,6.763206296536801,63.863983835228794,68.91759,1,1
438,LON-WEI-adc59df6-18,131.42669999999998,7,4,1,71.53,194.47134290775918,5.286700000000004,-7.0,7.432706699927522,-78.7008,7.182589974192469,25.420373519204997,44.234359999999995,0,0
439,LON-WEI-adc59df6-19,121.73870000000004,7,4,1,71.53,183.86818600575242,3.792100000000003,-6.8,7.357853571622818,-85.9873,6.884868367965367,29.432899673344398,41.25708,0,0
440,LON-WEI-adc59df6-21,113.08170000000004,6,3,1,62.3,167.03058770098144,4.164000000000003,-6.0,7.1983868008380565,-80.9473,7.038498322677326,0.0,0.4157878,0,0
441,LON-WEI-adc59df6-23,128.04970000000003,7,3,1,62.3,193.52333308117852,5.094900000000004,-7.0,7.3641980151515165,-90.6003,6.917483695582197,100.0,76.37749000000001,1,1
442,LON-WEI-adc59df6-26,114.68870000000004,8,4,1,71.53,172.14413293048835,3.402000000000002,-6.2,7.250539175812743,-82.2633,6.7827680007215,70.2789696811481,52.707930000000005,1,1
443,LON-WEI-adc59df6-27,119.30570000000004,9,4,1,71.53,178.50907504488498,3.792100000000003,-6.1,7.2578774721830355,-83.6602,6.968008966144969,39.5364589608403,19.37814,0,0
444,LON-WEI-adc59df6-28,125.88670000000002,7,4,1,75.19,188.5774456591988,4.350800000000003,-7.0,7.3504435477855505,-84.5574,7.1736845988455995,61.301838207571,59.26645,1,1
445,LON-WEI-adc59df6-30,108.48670000000004,6,3,1,62.3,160.66564558658484,3.7755000000000023,-6.4,6.962928176961932,-81.0544,6.892461015207014,100.0,50.15858,1,1
446,LON-WEI-adc59df6-31,117.69870000000006,7,3,1,62.3,173.39552981537813,4.5541000000000045,-6.3,7.058213923354424,-77.6404,7.357216518564768,23.884940762239598,32.50125,0,0
447,LON-WEI-adc59df6-32,121.78670000000004,7,4,1,71.53,183.86818600575242,3.9346000000000014,-7.0,7.330398991536237,-81.4114,7.446293674730494,25.629011867638397,44.10689,0,0
448,LON-WEI-adc59df6-35,120.20170000000006,6,3,1,62.3,178.75464077624542,4.698200000000004,-6.9,7.239024254329003,-83.9909,7.298078585525586,1.6767437114194301,-12.77713,0,0
449,LON-WEI-adc59df6-37,129.2217,7,5,1,84.42,193.69099088870567,4.681700000000004,-6.8,7.483932795248865,-75.5535,7.230430194805195,0.0,13.399289999999999,0,0
450,LON-WEI-adc59df6-39,121.78670000000004,6,4,1,71.53,183.86818600575242,3.9346000000000014,-6.8,7.161675586413584,-79.7323,7.410929226872795,31.0886910790132,0.6676884,0,0
451,LON-WEI-adc59df6-40,128.0917,7,3,1,62.3,189.35779767825227,4.955800000000004,-6.9,7.260072884171388,-81.5138,7.250389517482509,100.0,66.59281999999999,1,1
452,LON-WEI-adc59df6-41,124.83270000000003,6,3,1,62.3,187.15839096678192,5.417200000000005,-6.7,7.1019436105283615,-90.9144,7.463655010989009,31.913662900044198,35.96716,0,0
453,LON-WEI-adc59df6-43,130.99769999999998,6,5,1,80.76,198.57905698373685,5.006800000000005,-7.2,7.456925711344208,-79.8529,7.441755873531696,100.0,60.383215,1,1
454,LON-WEI-adc59df6-44,110.96770000000004,6,3,1,62.3,166.02475654745226,3.918000000000003,-6.4,7.107195055527807,-80.3326,7.088863688478191,33.304028462348,32.95042,0,0
455,LON-WEI-adc59df6-45,137.97869999999992,8,5,1,80.76,205.94983025166266,5.295300000000005,-6.5,7.665026160367413,-77.8599,7.484135340453659,45.87330743918,41.627340000000004,0,0
456,LON-WEI-adc59df6-47,132.91669999999996,8,3,1,62.3,199.88827519557515,5.137400000000004,-7.3,7.4209698205128225,-92.3148,6.865601835553337,100.0,83.42766999999999,1,1
457,LON-WEI-adc59df6-52,135.20469999999997,5,3,1,62.3,196.07719434711328,5.7073000000000045,-6.6,7.12386657900433,-76.9474,7.237695656510161,0.0,-17.45702,0,0
458,LON-WEI-adc59df6-53,122.70870000000006,5,3,1,62.3,183.69879604225974,5.207500000000005,-6.5,7.4585632529415005,-77.6543,7.478014166305909,13.488062441967498,19.56934,0,0
459,LON-WEI-adc59df6-54,125.39870000000008,5,3,1,62.3,187.26307742101943,5.3166000000000055,-6.5,7.3680008460150885,-83.4343,7.171703935786438,0.0,-13.848460000000001,0,0
460,LON-WEI-adc59df6-55,130.13570000000004,5,3,1,62.3,193.62801953541612,5.6250200000000055,-5.9,7.037388515789773,-72.0206,7.277545430902434,35.2724667787641,7.839269,0,0
461,LON-WEI-adc59df6-56,122.43570000000008,5,3,1,62.3,179.7604719297747,4.862520000000004,-5.7,6.839598569791322,-76.7386,7.192981603341103,0.0,2.239791,0,0
462,LON-WEI-adc59df6-57,128.86770000000007,7,4,1,71.53,191.23895927367823,4.952800000000004,-6.0,7.1984878437950925,-79.3043,7.3701513499278475,14.9557070934443,2.585775,0,0
463,LON-WEI-adc59df6-58,124.25070000000008,6,4,1,71.53,184.8740171592816,4.562700000000004,-5.9,7.1527315765068185,-79.2955,7.0272980036075054,8.4664172438448,-6.8711210000000005,0,0
